City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Bambous Virieux,MU,2022-04-06 23:16:14,-20.3428,57.7575,77.25,78,40,4.61
249,Oni,GE,2022-04-06 23:16:14,42.5794,43.4425,36.03,89,70,7.05
250,Khani,GE,2022-04-06 23:16:14,41.9563,42.9566,38.77,95,83,6.87
251,Goderich,CA,2022-04-06 23:16:15,43.7501,-81.7165,53.92,87,100,12.66
252,Narsaq,GL,2022-04-06 23:16:15,60.9167,-46.05,34.02,84,96,2.55
253,Kilindoni,TZ,2022-04-06 23:16:16,-7.9139,39.6668,82.22,71,1,9.24
254,Soe,ID,2022-04-06 23:16:16,-9.8607,124.284,69.67,81,67,2.01
255,Tongren,CN,2022-04-06 23:16:17,27.7172,109.1853,60.35,78,37,2.73
256,Zaysan,KZ,2022-04-06 23:16:17,47.4667,84.8667,51.85,45,69,5.48
257,Tambun,ID,2022-04-06 23:16:17,-6.2641,107.0712,77.04,82,93,1.77
258,Verkhovye,RU,2022-04-06 23:16:18,52.8119,37.2425,31.98,99,96,6.46
259,Bichura,RU,2022-04-06 23:16:18,50.5881,107.6022,38.73,71,96,2.82
260,Souillac,MU,2022-04-06 23:16:18,-20.5167,57.5167,77.38,78,40,4.61
261,Ribeira Grande,PT,2022-04-06 23:16:19,38.5167,-28.7,61.83,89,100,25.14
262,Chapais,CA,2022-04-06 23:16:19,49.7834,-74.8492,35.38,74,6,7.45
263,Nome,US,2022-04-06 23:14:33,64.5011,-165.4064,6.87,66,100,0.0
264,Paamiut,GL,2022-04-06 23:16:20,61.994,-49.6678,28.11,95,87,4.43
265,Carlos Antonio Lopez,PY,2022-04-06 23:16:20,-26.4,-54.7667,71.78,91,43,1.41
266,Yar-Sale,RU,2022-04-06 23:16:20,66.8333,70.8333,13.75,93,100,21.07
267,Ashland,US,2022-04-06 23:16:21,40.8167,-82.2665,55.17,95,99,10.83
268,Mount Gambier,AU,2022-04-06 23:11:50,-37.8333,140.7667,61.61,74,41,8.3
269,Deep River,CA,2022-04-06 23:11:36,46.1001,-77.4995,52.43,74,99,12.1
270,Kununurra,AU,2022-04-06 23:16:21,-15.7667,128.7333,82.38,89,74,0.0
271,Port Shepstone,ZA,2022-04-06 23:16:22,-30.7414,30.455,70.07,75,54,20.54
272,Chalus,IR,2022-04-06 23:16:22,36.655,51.4204,58.46,67,75,9.22
273,Talcahuano,CL,2022-04-06 23:17:23,-36.7167,-73.1167,60.48,82,0,11.5
274,Garowe,SO,2022-04-06 23:17:23,8.4054,48.4845,69.91,83,0,6.6
275,Benghazi,LY,2022-04-06 23:17:23,32.1167,20.0667,78.21,28,62,15.39
276,Mecca,SA,2022-04-06 23:13:38,21.4267,39.8261,83.46,22,0,3.91
277,Marsala,IT,2022-04-06 23:17:24,37.7966,12.4352,59.94,88,40,13.8
278,Clyde River,CA,2022-04-06 23:17:24,70.4692,-68.5914,-0.17,78,20,2.3
279,Saint-Paul,RE,2022-04-06 23:17:24,-21.0096,55.2707,78.91,87,99,1.52
280,Oranjemund,NA,2022-04-06 23:17:25,-28.55,16.4333,59.18,85,100,19.98
281,Oia,PT,2022-04-06 23:17:25,40.5426,-8.5386,56.12,76,74,1.92
282,Porto Novo,BJ,2022-04-06 23:17:25,6.4965,2.6036,80.42,81,61,8.81
283,Karratha,AU,2022-04-06 23:17:26,-20.7377,116.8463,84.09,52,33,6.22
284,Alyangula,AU,2022-04-06 23:13:03,-13.8483,136.4192,83.48,58,25,4.12
285,Nguruka,TZ,2022-04-06 23:17:26,-5.1092,31.0419,65.14,96,94,2.75
286,Koppang,NO,2022-04-06 23:17:26,61.5706,11.0555,14.81,88,31,2.53
287,Avera,US,2022-04-06 23:17:27,33.194,-82.5271,71.11,89,99,12.86
288,Walvis Bay,NA,2022-04-06 23:17:27,-22.9575,14.5053,58.15,88,31,2.3
289,Reforma,MX,2022-04-06 23:17:19,18.1,-91.0167,106.63,17,4,7.0
290,Hirosaki,JP,2022-04-06 23:17:27,40.5931,140.4725,44.67,56,82,3.24
291,Tecoanapa,MX,2022-04-06 23:17:28,16.5167,-98.75,82.06,63,98,12.03
